Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,MP-PD,488.337500,,0.000000,Tone,162.2,162.2,023,NN,FM,5.00,,Menlo Park PD Dispatch - 162.2 PL,,,,
1,ATH-PD,489.087500,,0.000000,Tone,162.2,162.2,023,NN,FM,5.00,,Atherton PD Dispatch - 162.2 PL,,,,
2,EPA-PD,488.387500,,0.000000,Tone,114.8,114.8,023,NN,FM,5.00,,East Palo Alto PD Dispatch - 114.8 PL,,,,
3,SMSO-GRN,488.887500,,0.000000,Tone,114.8,114.8,023,NN,FM,5.00,,SMC Sheriff Countywide GREEN - 114.8 PL,,,,
4,SMSO-T1N,488.862500,,0.000000,Tone,114.8,114.8,023,NN,FM,5.00,,SMC Sheriff Tac1 North - 114.8 PL,,,,
5,SMSO-T2C,488.712500,,0.000000,Tone,114.8,114.8,023,NN,FM,5.00,,SMC Sheriff Tac2 Central - 114.8 PL,,,,
6,SMSO-T3S,488.537500,,0.000000,Tone,114.8,114.8,023,NN,FM,5.00,,SMC Sheriff Tac3 South - 114.8 PL,,,,
7,SMSO-C2C,460.025000,,0.000000,Tone,114.8,114.8,023,NN,NFM,5.00,,SMC Sheriff Car-to-Car Simplex - 114.8 PL,,,,
8,SMSO-ALT,484.487500,,0.000000,Tone,114.8,114.8,023,NN,FM,5.00,,SMC Sheriff Alternate - 114.8 PL,,,,
9,RWC-PD1,483.412500,,0.000000,Tone,186.2,186.2,023,NN,FM,5.00,,Redwood City PD Dispatch - 186.2 PL,,,,
10,RWC-PD2,488.787500,,0.000000,Tone,162.2,162.2,023,NN,FM,5.00,,Redwood City PD Secondary - 162.2 PL,,,,
11,RWC-PD3,484.487500,,0.000000,Tone,114.8,114.8,023,NN,FM,5.00,,Redwood City PD Tactical - 114.8 PL,,,,
